BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
Nutrition and Blood,09.11.01,Amino acids and nutritional agents,Primary inferential,4.218,2.303,11.996,Oct,Feb,Bimodal,0.002,0.705,-0.006,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Infections,05.05.06,Filaricides,Primary inferential,1.663,1.542,1.936,Jan,Aug,Unimodal (non-sinusoidal),0.357,0.977,0.456,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.11.04,Digestive aids,Primary inferential,1.634,1.191,2.437,Oct,Feb,Bimodal,0.000,0.824,0.015,Poisson,Poisson + Newey–West HAC (Wald),No,0.0413,No
Eye,11.08.03,Other eye preparations,Primary inferential,1.233,1.123,1.774,Jun,Feb,Bimodal,0.020,0.688,0.090,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0015,No
"Ear, Nose and Oropharynx",12.03.03,Lozenges and sprays,Primary inferential,1.165,1.126,1.224,Jan,Jul,Unimodal,0.189,0.026,0.346,Poisson,Poisson (LRT),"",<0.001,No
Infections,05.01.06,Clindamycin and lincomycin,Primary inferential,1.126,1.096,1.163,Aug,Dec,Unimodal (non-sinusoidal),0.700,0.921,0.625,Negbin,Negative binomial (LRT),"",<0.001,No
Respiratory System,03.01.01,Adrenoceptor agonists,Primary inferential,1.124,1.094,1.154,Dec,Aug,Bimodal,0.696,0.945,0.606,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Infections,05.01.12,Quinolones,Primary inferential,1.116,1.093,1.146,Dec,Jun,Unimodal,0.561,0.945,0.628,Negbin,Negative binomial (LRT),"",<0.001,No
Infections,05.01.13,Urinary-tract infections,Primary inferential,1.114,1.085,1.150,Sep,May,Unimodal (non-sinusoidal),0.566,0.358,0.549,Negbin,Negative binomial (LRT),"",<0.001,No
Musculoskeletal and Joint Diseases,10.01.02,Corticosteroids,Primary inferential,1.108,1.083,1.167,May,Jan,Unimodal (non-sinusoidal),0.701,0.868,0.723,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
"Ear, Nose and Oropharynx",12.01.03,Removal of ear wax and other substances,Primary inferential,1.107,1.073,1.148,Mar,Nov,Bimodal,0.652,0.924,0.536,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.02.01,Oral preparation for fluid and electrolyte imbalance,Primary inferential,1.105,1.079,1.142,Jul,Dec,Unimodal (non-sinusoidal),0.626,0.863,0.475,Negbin,Negative binomial (LRT),"",<0.001,No
Skin,13.05.03,Drugs affecting the immune response,Primary inferential,1.104,1.085,1.137,Apr,Sep,Unimodal (non-sinusoidal),0.695,0.980,0.575,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.02.02,Parent prepn for fluid and electrolyte imb,Primary inferential,1.103,1.083,1.135,Dec,Aug,Bimodal,0.681,0.454,0.566,Negbin,Negative binomial (LRT),"",<0.001,No
Infections,05.01.02,Cephalosporins and other beta-lactams,Primary inferential,1.097,1.069,1.132,Dec,May,Unimodal,0.366,0.299,0.427,Negbin,Negative binomial (LRT),"",<0.001,No
