BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Infections,05.01.03,Tetracyclines,0501030T0,Oxytetracycline,Secondary exploratory,1.057,1.040,1.082,Apr,Sep,Unimodal (non-sinusoidal),0.413,0.981,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.02.01,Emollients,130201000,Other emollient preparations,Secondary exploratory,1.057,1.048,1.074,Apr,Oct,Unimodal (non-sinusoidal),0.395,0.008,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Musculoskeletal and Joint Diseases,10.01.01,Non-steroidal anti-inflammatory drugs,1001010J0,Ibuprofen,Secondary exploratory,1.057,1.039,1.078,Dec,Aug,Bimodal,0.462,0.965,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Nutrition and Blood,09.01.01,Iron-deficiency anaemias,0901011W0,Sodium feredetate,Secondary exploratory,1.056,1.036,1.106,Jul,Dec,Unimodal (non-sinusoidal),0.494,0.826,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0361,No
Infections,05.01.03,Tetracyclines,0501030L0,Lymecycline,Secondary exploratory,1.056,1.036,1.090,Apr,Dec,Bimodal,0.603,0.882,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00139,No
Nutrition and Blood,09.01.02,Drugs used in megaloblastic anaemias,0901020N0,Hydroxocobalamin,Secondary exploratory,1.056,1.040,1.081,Jul,Nov,Bimodal,0.488,0.853,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.02.01,Oral preparation for fluid and electrolyte imbalance,0902012L0,Sodium chloride,Secondary exploratory,1.055,1.037,1.092,Aug,Dec,Unimodal,0.279,0.668,Negbin,Negative binomial (LRT),Yes,0.0108,No
Skin,13.02.01,Emollients,130201100,Emollient bath and shower preparations,Secondary exploratory,1.055,1.036,1.090,Apr,Oct,Unimodal,0.389,0.929,Negbin,Negative binomial (LRT),Yes,0.0166,No
Central Nervous System,04.09.01,Dopaminergic drugs used in parkinsonism,0409010U0,Cabergoline,Secondary exploratory,1.055,1.039,1.096,Jan,May,Unimodal,0.210,0.741,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00139,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205051W0,Imidapril hydrochloride,Secondary exploratory,1.055,1.034,1.094,Jan,Apr,Bimodal,0.095,0.952,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.11.03,Cationic surfactants and soaps,1311030A0,Alkyl sulphate,Secondary exploratory,1.054,1.033,1.090,Apr,Jan,Bimodal,0.493,0.779,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00186,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803042P0,Triptorelin acetate,Secondary exploratory,1.053,1.028,1.101,Jan,May,Bimodal,0.339,0.679,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00219,No
Endocrine System,06.04.01,Female sex hormones and their modulators,0604011G0,Estradiol,Secondary exploratory,1.053,1.036,1.089,Jul,Feb,Unimodal,0.194,0.962,Negbin,Negative binomial (LRT),Yes,0.0184,No
Respiratory System,03.04.01,Antihistamines,0304010W0,Promethazine hydrochloride,Secondary exploratory,1.052,1.039,1.077,Feb,Jun,Unimodal (non-sinusoidal),0.434,0.939,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.05.02,Corticosteroids,0105020D0,Prednisolone sodium metasulphobenzoate,Secondary exploratory,1.052,1.031,1.094,Aug,Dec,Bimodal,0.013,0.905,Poisson,Poisson (LRT),No,0.0492,No
Musculoskeletal and Joint Diseases,10.03.02,"Rubefacients, topical NSAIDs, capsaicin and poultices",1003020AF,Diclofenac diethyl,Secondary exploratory,1.051,1.046,1.064,Sep,Jan,Bimodal,0.208,0.790,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
