bnf_class_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,class_q_bh,class_significant,inference_scope,multiplicity_family
120101,1.17296096703821,1.13939427200529,1.22309085779406,Sep,May,0.0691615612683248,0.0365144069325948,2,0.692314128251621,0.715127150821162,0.612742459963555,998.452509336174,984.853059204295,"bimodal (2 harmonics, 2 peaks)",Otitis externa,9.70980248727624e-11,negbin,NB-LRT,264.442634000617,5.51015756893392e-08,0.301086413731903,,,680.834732472916,-0.0414489444104962,0.0553652107765142,0.034002657848435,-0.0133086878722656,TRUE,,4.03048405132221e-10,TRUE,primary_inferential,all_eligible_classes
041002,1.1665960140502,1.12196243356078,1.41455113358503,Mar,Nov,0.0683653461338432,0.0226743411475085,1,0.642068427869593,0.781432564472394,0.713423150452413,4363.20675513776,3955.35415586218,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Nicotine dependence,1.03202153918762e-08,poisson,HAC-Wald,83.4267135430094,4.03393718359811e-08,0.00209029598627597,0.468305041300188,FALSE,,0.0635350997264736,-0.0252410707924061,0.00397635938579587,-0.0223229548337265,TRUE,,3.44007179729206e-08,TRUE,primary_inferential,all_eligible_classes
120303,1.16484832120591,1.12624859643475,1.22365856059057,Jan,Jul,0.0768678963689409,0.0058357912803262,1,0.345983280146372,0.18890702370882,0.0257245713822737,455.858799767501,459.547791461761,unimodal (1 harmonic preferred),Lozenges and sprays,3.60874021131669e-11,poisson,Poisson-LRT,1.72135272176537,0.0542872602591641,0.176330194851784,,,,0.0300385052597976,0.0707556477883098,-0.00574442475757413,-0.00102861269295143,TRUE,,1.58784569297935e-10,TRUE,primary_inferential,all_eligible_classes
040501,1.16276460749282,1.12813447447327,1.21026485280793,Jul,Jan,0.0761700190835587,0.0100801503033056,1,0.776740321708982,0.836949764947427,0.973531455608492,3343.60798772534,3252.24827546287,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Gastro-intestinal anti-obesity drugs,4.58199515135599e-18,poisson,HAC-Wald,65.9659102672898,2.48025483558543e-08,0.00667415540929695,1.8048359295363,FALSE,,-0.0283455259303946,-0.0706993844875543,-0.00334083661646015,-0.00951042800505589,TRUE,,3.05466343423733e-17,TRUE,primary_inferential,all_eligible_classes
010704,1.14805303603072,1.12173013139099,1.17924142444461,Feb,Jul,0.0654922086532546,0.0116894722449072,1,0.74563291107658,0.825385972019699,0.815150537511877,1134.12872037907,1114.75088068632,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Management of anal fissures,2.26103516898786e-43,poisson,HAC-Wald,14.5339913715732,4.92315253009197e-09,9.05269557593957e-06,7.72484896024738,FALSE,,0.0454288488143531,0.0471746657612333,0.00167569931838867,-0.0115687420733115,TRUE,,3.55305526555235e-42,TRUE,primary_inferential,all_eligible_classes
050106,1.12603725271104,1.09637483603081,1.16262405834975,Aug,Dec,0.0536527854439234,0.0164685493889006,1,0.625443071163979,0.699724989700713,0.921112860971382,649.805986600186,647.471117502821,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Clindamycin and lincomycin,1.21816414325666e-09,negbin,NB-LRT,6.28853452403622,3.60223126481017e-07,0.547217732113255,,,1325.47363201776,-0.0266022490152111,-0.0465933657640697,0.0135487623278228,-0.00936184588416349,TRUE,,4.48078666131178e-09,TRUE,primary_inferential,all_eligible_classes
030101,1.12398193011141,1.09436018684027,1.15422082733484,Dec,Aug,0.0405472404787104,0.0292384902312821,2,0.60620968788597,0.696297393766443,0.945357119236476,114201.67029418,79665.7820122889,"bimodal (2 harmonics, 2 peaks)",Adrenoceptor agonists,3.64124951366583e-21,poisson,HAC-Wald,1968.79300308814,1.49436183848033e-08,0.0015885861529269,2.23769702881776,FALSE,,0.00782673670261921,0.0397846817635412,-0.0121977841540455,0.0265726056820948,TRUE,,2.96694404817216e-20,TRUE,primary_inferential,all_eligible_classes
050112,1.11581520073189,1.09292780236593,1.14603428251738,Dec,Jun,0.0548673368295051,0.00610633279842831,1,0.627696252977365,0.561268415728656,0.945414683225901,809.878011372057,812.732241383637,unimodal (1 harmonic preferred),Quinolones,1.01242620690455e-10,negbin,NB-LRT,31.0245650514477,8.87126904928193e-09,0.195458974458422,,,1373.77697440379,-0.00286223261540926,0.0547926297527109,0.0025997166496569,-0.00552528493262185,TRUE,,4.12469936146296e-10,TRUE,primary_inferential,all_eligible_classes
050113,1.11435929387268,1.08521016861751,1.15020535145172,Sep,May,0.047820194673658,0.0148829912746407,1,0.549116754960127,0.56580524875716,0.357607882914212,1051.26822496578,1050.03928501159,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Urinary-tract infections,6.36718162724136e-08,negbin,NB-LRT,414.510116512898,3.12099938024888e-10,0.10914368701706,,,1063.75747261991,-0.0391331245414254,0.0274839877428993,0.00744209911137433,-0.0128887000933962,TRUE,,2.05997052646044e-07,TRUE,primary_inferential,all_eligible_classes
100102,1.10836818565154,1.08303318931977,1.16705217798179,May,Jan,0.0477347084373475,0.0156794708640566,1,0.722771293066131,0.700685307998969,0.867714635963316,9892.02795812524,9554.58421463906,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Corticosteroids,2.81520052323302e-12,poisson,HAC-Wald,222.031129387856,9.70006101283705e-10,2.04859929020529e-09,3.57870431833503,FALSE,,0.01584358368016,-0.0450286935827406,-0.0143742004872985,0.00626323933182711,TRUE,,1.34640025024188e-11,TRUE,primary_inferential,all_eligible_classes
