bnf_class_code,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,hac_capped,class_q_bh,class_significant,meaningful
060301,Replacement therapy,primary_inferential,all_eligible_classes,1.023,1.016,1.04,Dec,Apr,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.131,0,0.855,poisson,HAC-Wald,FALSE,9.66381106018091e-09,TRUE,FALSE
030102,Antimuscarinic bronchodilators,primary_inferential,all_eligible_classes,1.022,1.015,1.036,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",2,-0.105,0.184,0.983,poisson,HAC-Wald,FALSE,8.45914240039922e-05,TRUE,FALSE
060101,Insulin,primary_inferential,all_eligible_classes,1.022,1.015,1.042,Dec,Sep,"bimodal (2 harmonics, 2 peaks)",2,-0.056,0.197,0.538,poisson,HAC-Wald,FALSE,0.0233801524823976,TRUE,FALSE
040600,Drugs used in nausea and vertigo,primary_inferential,all_eligible_classes,1.021,1.016,1.035,Oct,May,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.05,0.134,0.045,poisson,HAC-Wald,FALSE,4.48078666131178e-09,TRUE,FALSE
100104,Gout and cytotoxic induced hyperuicaemia,primary_inferential,all_eligible_classes,1.02,1.013,1.04,Jul,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.138,0,0.587,poisson,HAC-Wald,FALSE,1.06784116477649e-16,TRUE,FALSE
041003,Opioid dependence,primary_inferential,all_eligible_classes,1.02,1.013,1.036,May,Sep,"bimodal (2 harmonics, 2 peaks)",2,-0.039,0.122,0.686,poisson,HAC-Wald,FALSE,0.00172848088230961,TRUE,FALSE
040901,Dopaminergic drugs used in parkinsonism,primary_inferential,all_eligible_classes,1.019,1.011,1.034,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",2,-0.169,0,0,poisson,HAC-Wald,FALSE,0.000377505620594641,TRUE,FALSE
020602,Calcium-channel blockers,primary_inferential,all_eligible_classes,1.019,1.015,1.03,Apr,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.131,0,0.746,poisson,HAC-Wald,FALSE,3.20982104870482e-14,TRUE,FALSE
040202,Antipsychotic depot injections,primary_inferential,all_eligible_classes,1.018,1.013,1.037,Jan,Aug,unimodal (1 harmonic preferred),1,0.103,0.17,0.662,poisson,HAC-Wald,TRUE,0.000230107269456129,TRUE,FALSE
041001,Alcohol dependence,primary_inferential,all_eligible_classes,1.017,1.011,1.038,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",2,-0.103,0,0.712,poisson,HAC-Wald,FALSE,0.0211926509023209,TRUE,FALSE
060106,Diabetic diagnostic and monitoring agents,primary_inferential,all_eligible_classes,1.017,1.014,1.032,Jul,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.068,0.115,0.876,poisson,HAC-Wald,TRUE,1.14226798562315e-07,TRUE,FALSE
090607,Multivitamin preparations,primary_inferential,all_eligible_classes,1.016,1.011,1.03,Dec,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,-0.094,0,0.702,poisson,HAC-Wald,TRUE,0.00214384731978948,TRUE,FALSE
040701,Non-opioid analgesics and compound preparations,primary_inferential,all_eligible_classes,1.016,1.012,1.03,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",2,-0.17,0,0.21,poisson,HAC-Wald,TRUE,8.43977774190808e-06,TRUE,FALSE
