bnf_drug_code,bnf_drug_name,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,drug_all_q_bh,drug_significant,parent_class_significant,class_q_bh,conditional_drug_q_legacy,conditional_drug_significant_legacy,meaningful
0603020J0,Hydrocortisone,Glucocorticoid therapy,secondary_exploratory,all_eligible_drugs,1.025,1.015,1.045,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.077,0.192,0.807,poisson,HAC-Wald,1.77141074206485e-05,TRUE,TRUE,7.99962161406946e-42,1.26922996048017e-05,TRUE,FALSE
0205051F0,Captopril,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.025,1.016,1.039,Nov,Aug,"bimodal (2 harmonics, 2 peaks)",-0.029,0.113,0.958,poisson,HAC-Wald,0.00027154888876601,TRUE,TRUE,0.0166702504942612,0.000196825316427399,TRUE,FALSE
0906040G0,Colecalciferol,Vitamin D,secondary_exploratory,all_eligible_drugs,1.024,1.018,1.041,Apr,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.075,0,0.563,poisson,HAC-Wald,3.23757443346843e-19,TRUE,TRUE,7.68734419904648e-19,2.25248022354859e-19,TRUE,FALSE
0408010AF,Rufinamide,Control of epilepsy,secondary_exploratory,all_eligible_drugs,1.024,1.017,1.061,Dec,Mar,unimodal (1 harmonic preferred),-0.015,0.252,0.261,poisson,HAC-Wald,0.00905675813082074,TRUE,TRUE,0.0462428934317855,0.00675625410924538,TRUE,FALSE
0103010H0,Famotidine,H2-receptor antagonists,secondary_exploratory,all_eligible_drugs,1.024,1.016,1.039,Nov,Apr,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.092,0,0.994,poisson,HAC-Wald,0.000119502843347135,TRUE,TRUE,5.45997117848395e-06,8.6435784593539e-05,TRUE,FALSE
0104020L0,Loperamide hydrochloride,Antimotility drugs,secondary_exploratory,all_eligible_drugs,1.024,1.016,1.041,Jul,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.096,0.174,0.062,poisson,HAC-Wald,8.33864633871018e-06,TRUE,TRUE,2.18265840235112e-06,5.98759024031905e-06,TRUE,FALSE
0409010Z0,Rotigotine,Dopaminergic drugs used in parkinsonism,secondary_exploratory,all_eligible_drugs,1.023,1.012,1.047,Nov,Mar,"bimodal (2 harmonics, 2 peaks)",-0.184,0,0.138,poisson,HAC-Wald,0.000698418811857806,TRUE,TRUE,0.000377505620594641,0.000505020947432847,TRUE,FALSE
0307000J0,Carbocisteine,Mucolytics,secondary_exploratory,all_eligible_drugs,1.023,1.018,1.032,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.151,0,0.886,poisson,HAC-Wald,2.5507297122838e-13,TRUE,TRUE,3.00197132384098e-16,1.75946044111343e-13,TRUE,FALSE
0801030P0,Methotrexate,Antimetabolites,secondary_exploratory,all_eligible_drugs,1.023,1.013,1.04,Jun,Feb,unimodal (1 harmonic preferred),-0.011,0.26,0.762,poisson,HAC-Wald,0.0400529069795604,TRUE,FALSE,0.769739487426067,,FALSE,FALSE
0603010I0,Fludrocortisone acetate,Replacement therapy,secondary_exploratory,all_eligible_drugs,1.023,1.016,1.04,Dec,Apr,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.131,0,0.855,poisson,HAC-Wald,1.9252947216715e-08,TRUE,TRUE,9.66381106018091e-09,1.36911696407635e-08,TRUE,FALSE
0410030A0,Buprenorphine hydrochloride,Opioid dependence,secondary_exploratory,all_eligible_drugs,1.023,1.015,1.04,May,Aug,"bimodal (2 harmonics, 2 peaks)",-0.011,0.158,0.599,poisson,HAC-Wald,0.00656100884286513,TRUE,TRUE,0.00172848088230961,0.00485960376404689,TRUE,FALSE
1108010C0,Acetylcysteine,"Tear deficiency, eye lubricant and astringent",secondary_exploratory,all_eligible_drugs,1.022,1.016,1.045,Aug,Mar,unimodal (1 harmonic preferred),0.126,0.23,0.143,poisson,HAC-Wald,0.0050327864903434,TRUE,FALSE,0.402879512529337,,FALSE,FALSE
0304010J0,Hydroxyzine hydrochloride,Antihistamines,secondary_exploratory,all_eligible_drugs,1.022,1.014,1.038,Jan,Sep,unimodal (1 harmonic preferred),-0.137,0,0.533,poisson,HAC-Wald,0.00139619614808221,TRUE,TRUE,1.95040709693529e-226,0.00100812132060677,TRUE,FALSE
0901011F0,Ferrous fumarate,Iron-deficiency anaemias,secondary_exploratory,all_eligible_drugs,1.022,1.016,1.044,Jul,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.023,0,0.553,poisson,HAC-Wald,0.00214792101651074,TRUE,TRUE,4.30049447409871e-15,0.00156069519044081,TRUE,FALSE
0205052V0,Valsartan,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.022,1.014,1.037,Nov,Feb,"bimodal (2 harmonics, 2 peaks)",-0.125,0.119,0.617,poisson,HAC-Wald,0.0198987559232161,TRUE,TRUE,0.0166702504942612,0.0151686739925809,TRUE,FALSE
0206020A0,Amlodipine,Calcium-channel blockers,secondary_exploratory,all_eligible_drugs,1.021,1.016,1.033,Apr,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.119,0,0.788,poisson,HAC-Wald,3.40432000534839e-18,TRUE,TRUE,3.20982104870482e-14,2.36462254008307e-18,TRUE,FALSE
0411000D0,Donepezil hydrochloride,Dementia,secondary_exploratory,all_eligible_drugs,1.021,1.014,1.037,Nov,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.102,0.037,0.359,poisson,HAC-Wald,9.11245398754674e-13,TRUE,TRUE,3.28476791770192e-10,6.27795409917247e-13,TRUE,FALSE
