bnf_class_code,bnf_drug_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
020900,0209000Y0,Prasugrel,0.000130111147073068,poisson,HAC-Wald,7.46699303480255,4.08125490547967e-07,0.000806705802219088,12,TRUE,,-9.43530349257484e-06,0.000348781269694773,-0.00282344891774777,0.00591711828446735,TRUE,,0.00060060785426146,TRUE,secondary_exploratory,all_eligible_drugs,Antiplatelet drugs,0.000402533574512188,TRUE,TRUE,0.000434584440477557,TRUE
131004,1310040V0,Dimeticone (Parasiticidal),0.000131832967090549,negbin,NB-LRT,6.44760867470258,0.000250683024496827,0.189658280293672,,,88.3396744812112,-0.0825705848847882,0.102705326525054,0.00260978870442762,-0.0260474339452214,TRUE,,0.000605685424274504,TRUE,secondary_exploratory,all_eligible_drugs,Parasiticidal preparations,6.7990072351079e-32,TRUE,TRUE,0.000438111577502936,TRUE
040901,0409010Z0,Rotigotine,0.000152734298691697,poisson,HAC-Wald,7.51434748327678,1.90827066924325e-06,2.7868210772386e-07,12,TRUE,,-0.00813351471737789,0.00314413164168671,-0.00393381598904634,0.00313992522640197,TRUE,,0.000698418811857806,TRUE,secondary_exploratory,all_eligible_drugs,Dopaminergic drugs used in parkinsonism,0.000377505620594641,TRUE,TRUE,0.000505020947432847,TRUE
040301,0403010F0,Clomipramine hydrochloride,0.000153667576206089,poisson,HAC-Wald,11.6161465722187,6.80137407304904e-08,0.000144179705685032,4.82663052529238,FALSE,,-0.000537188677125247,0.00559495317615021,-0.00382203078120783,0.00272389669821929,TRUE,,0.00069940289357351,TRUE,secondary_exploratory,all_eligible_drugs,Tricyclic and related antidepressant drugs,5.81617035616975e-09,TRUE,TRUE,0.000505566325718034,TRUE
090502,090502100,Other phosphate supplement preparations,0.000158019742933812,negbin,NB-LRT,8.8954891061738,0.000243965668397155,0.0734273722531577,,,265.164093084987,-0.0576398937729875,-0.0420391573544765,-0.00221753113133362,-0.0167095476207651,TRUE,,0.000715866184267594,TRUE,secondary_exploratory,all_eligible_drugs,Phosphorus,0.016540956368645,TRUE,TRUE,0.000517298461942528,TRUE
020802,0208020W0,INR blood testing reagents,0.00016522468382397,negbin,NB-LRT,6.73541811798029,0.000797013370962022,0.579372574277705,,,556.682697174196,-0.0260596801233313,0.035731761568411,0.0180859359243878,0.0205326114633062,TRUE,,0.00074504093539142,TRUE,secondary_exploratory,all_eligible_drugs,Oral anticoagulants,0.00531800462558879,TRUE,TRUE,0.000538207138396892,TRUE
060102,0601023Z0,Metformin hydrochloride/vildagliptin,0.000187018330231977,poisson,HAC-Wald,2.07712147636409,0.0107049961386125,0.0311749139418647,4.90645035179272,FALSE,,-0.00590600259826538,0.0098266675944327,0.00220417280114651,0.00691857943752704,TRUE,,0.000839427896985927,TRUE,secondary_exploratory,all_eligible_drugs,Antidiabetic drugs,0.870182495394554,FALSE,FALSE,,FALSE
060302,0603020M0,Hydrocortisone sodium succinate,0.000188351930758061,poisson,HAC-Wald,10.8485099175879,6.06088234241483e-08,0.00452548738710545,2.28463848812936,FALSE,,-0.0102651378663333,-0.133849290973013,0.03453874980466,-0.0258688395781933,TRUE,,0.000841535690634641,TRUE,secondary_exploratory,all_eligible_drugs,Glucocorticoid therapy,7.99962161406946e-42,TRUE,TRUE,0.000610520051422682,TRUE
020900,0209000C0,Clopidogrel,0.000206661643508492,poisson,HAC-Wald,571.821354506363,2.93827040665602e-09,1.21070702274739e-06,12,TRUE,,-0.00229073875926191,0.00327952753273099,-0.00240468243140162,0.00205542391724185,TRUE,,0.000919125300352836,TRUE,secondary_exploratory,all_eligible_drugs,Antiplatelet drugs,0.000402533574512188,TRUE,TRUE,0.000666585105042096,TRUE
040400,0404000M0,Methylphenidate hydrochloride,0.000209687115929184,poisson,HAC-Wald,259.935814184211,7.81949191082574e-09,0.00284687192681254,4.58119946577115,FALSE,,0.0225363258827368,0.00985420626110784,-0.0137860511993173,0.00473865477897716,TRUE,,0.00092834204961375,TRUE,secondary_exploratory,all_eligible_drugs,CNS stimulants and drugs used for ADHD,0.0251947058398018,TRUE,TRUE,0.000673044498933673,TRUE
